date,Spot price,Demand,Gas,Hydro Pump,Hydro R-o-R,Nuclear,Solar,Wind Offshore,Wind Onshore,Net Imports,Residual load,RES_pen
2022-10-03 00:00:00,197.95,7628.782499999999,2363.63,,5.06,4903.53,0.0,5.19,102.34,891.3074999999999,7521.2525,1.409530288745288
2022-10-03 01:00:00,189.91,7366.6425,2124.52,,4.9,4906.47,0.0,3.51,61.77,955.585,7301.3625,0.8861567532291679
2022-10-03 02:00:00,210.98,7245.1575,2104.01,,6.62,4907.98,0.0,3.51,44.06,948.195,7197.587500000001,0.6565764788412122
2022-10-03 03:00:00,188.41,6996.5225,2042.03,,6.54,4910.65,0.0,3.51,40.46,857.995,6952.5525,0.6284550646410413
2022-10-03 04:00:00,194.1,7132.8025,2112.24,,6.49,4913.58,0.0,4.12,40.27,824.9825,7088.412499999999,0.6223360313144798
2022-10-03 05:00:00,203.13,7625.9025,2528.87,113.76,5.03,4912.93,0.0,7.89,43.16,804.605,7574.8525,0.6694289626703199
2022-10-03 06:00:00,294.68,8641.397500000001,3084.45,31.56,5.06,4912.89,0.0,12.86,44.44,666.0325,8584.097500000002,0.6630871916261228
2022-10-03 07:00:00,316.63,9573.64,3551.46,375.01,5.14,4912.63,0.35,10.72,49.58,653.6525,9512.99,0.6335103471615813
2022-10-03 08:00:00,376.31,9907.18,3712.97,491.71,0.56,4278.79,262.93,16.21,45.75,805.9975,9582.29,3.2793388229546654
2022-10-03 09:00:00,370.89,10057.535,3892.65,564.64,0.0,3879.48,1105.34,35.82,31.64,583.5125,8884.735,11.660908960296931
2022-10-03 10:00:00,275.13,10214.2725,3462.37,28.95,0.0,3876.39,2142.58,62.85,24.32,860.9649999999999,7984.522499999999,21.829748521003335
2022-10-03 11:00:00,267.75,10262.465,3436.46,47.14,0.0,3870.36,2777.2,105.98,15.2,679.685,7364.085000000001,28.242532374044632
2022-10-03 12:00:00,237.66,9926.815,3455.38,60.74,0.0,3864.42,2822.98,142.22,13.87,439.4125,6947.745000000001,30.010330604529244
2022-10-03 13:00:00,189.53,9817.5275,3359.38,15.08,0.0,3860.14,2999.98,168.08,14.38,462.465,6635.0875,32.41590105044269
2022-10-03 14:00:00,213.51,9491.91,3535.89,,0.0,3858.42,2662.25,140.98,14.21,411.68,6674.469999999999,29.682540184220034
2022-10-03 15:00:00,185.24,9344.75,3748.31,69.73,0.0,3859.5,1867.6,109.35,14.31,519.9775,7353.49,21.308863265469913
2022-10-03 16:00:00,225.1,9421.0475,3780.98,5.21,0.0,3862.55,1387.28,50.54,17.88,570.0775,7965.347500000001,15.451572662169466
2022-10-03 17:00:00,333.5,9676.365,3941.22,163.32,0.0,3859.56,828.7,25.91,20.59,530.7025,8801.164999999999,9.04471875544174
2022-10-03 18:00:00,391.11,9964.0025,4024.88,362.03,0.0,3857.85,213.74,37.37,34.87,385.92999999999995,9678.022500000001,2.8701317567915106
2022-10-03 19:00:00,469.17,10148.7,4042.79,493.64,1.17,3860.21,1.87,110.13,64.31,280.03000000000003,9972.390000000001,1.7372668420585886
2022-10-03 20:00:00,379.85,9840.057499999999,3848.56,174.3,1.23,3864.67,0.0,326.43,87.45,739.6775,9426.1775,4.2060729828052335
2022-10-03 21:00:00,321.3,9187.7875,3829.5,147.89,1.23,3866.5,0.0,316.38,117.59,621.95,8753.817500000001,4.723335188150575
2022-10-03 22:00:00,318.42,8859.635,3800.25,,5.44,3866.19,0.0,525.11,143.47,380.74750000000006,8191.055,7.546360544198491
2022-10-03 23:00:00,284.3,8586.4275,3857.21,,5.05,3865.42,0.0,583.04,261.1,357.1575,7742.287499999999,9.831096809470528
2022-10-04 00:00:00,223.28,7966.675,3116.07,,5.1,3866.35,0.0,556.44,268.86,271.2425,7141.375,10.359403389745408
2022-10-04 01:00:00,196.63,7717.0675,2954.59,,5.06,3868.91,0.0,552.85,286.92,369.3325,6877.297500000001,10.881983344061718
2022-10-04 02:00:00,206.26,7510.465,3067.32,,5.1,3869.25,0.0,404.67,209.91,404.88,6895.885,8.182982012431987
2022-10-04 03:00:00,169.1,7343.0625,2670.77,,6.38,3870.28,0.0,305.83,192.42,83.32249999999999,6844.8125,6.785316072142924
2022-10-04 04:00:00,187.69,7459.8225,2714.11,,6.48,3871.42,0.0,475.51,208.02,56.19,6776.2925000000005,9.162818552318102
