date,Demand,Gas,Coal,Hydro Pump,Hydro R-o-R,Hydro Res,Solar,Wind Onshore,Net Imports,Residual load,RES_pen
2022-04-04 00:00:00,23520.0,14478.0,2383.0,60.0,1669.0,219.0,0.0,348.0,1115.0,23172.0,1.4795918367346939
2022-04-04 01:00:00,22164.0,14114.0,2528.0,0.0,1423.0,152.0,0.0,347.0,602.01,21817.0,1.5656018769175237
2022-04-04 02:00:00,21535.0,14114.0,2549.0,0.0,1343.0,147.0,0.0,367.0,250.09000000000015,21168.0,1.7042024611098212
2022-04-04 03:00:00,21401.0,14522.0,2579.0,0.0,1256.0,152.0,0.0,342.0,60.82999999999993,21059.0,1.5980561655997383
2022-04-04 04:00:00,21823.0,14871.0,2596.0,0.0,1341.0,143.0,0.0,297.0,-220.64999999999998,21526.0,1.3609494569949137
2022-04-04 05:00:00,23874.0,15856.0,2561.0,79.0,1314.0,177.0,0.0,366.0,210.94000000000005,23508.0,1.5330485046494096
2022-04-04 06:00:00,29679.0,18374.0,2610.0,107.0,2153.0,445.0,3.0,455.0,1941.05,29221.0,1.5431786785269046
2022-04-04 07:00:00,34760.0,21640.0,2542.0,352.0,2995.0,663.0,304.0,528.0,2224.55,33928.0,2.3935558112773303
2022-04-04 08:00:00,39391.0,21877.0,2523.0,1066.0,4287.0,932.0,1582.0,550.0,2836.38,37259.0,5.412403848594857
2022-04-04 09:00:00,40759.0,21222.0,2474.0,1899.0,4076.0,754.0,3834.0,647.0,2267.43,36278.0,10.993890919796854
2022-04-04 10:00:00,40450.0,21148.0,2445.0,445.0,2909.0,631.0,5366.0,831.0,3233.85,34253.0,15.320148331273176
2022-04-04 11:00:00,40252.0,20907.0,2300.0,26.0,1938.0,328.0,6772.0,977.0,3682.06,32503.0,19.25121733081586
2022-04-04 12:00:00,38730.0,20499.0,2340.0,87.0,1561.0,173.0,7555.0,1049.0,2129.2200000000003,30126.0,22.215336948102244
2022-04-04 13:00:00,38406.0,20454.0,2451.0,81.0,1445.0,136.0,7292.0,1067.0,2082.62,30047.0,21.764828412227256
2022-04-04 14:00:00,39317.0,20262.0,2445.0,0.0,1362.0,134.0,7535.0,987.0,3585.87,30795.0,21.675102373019307
2022-04-04 15:00:00,38892.0,20131.0,2447.0,0.0,1411.0,151.0,6825.0,1001.0,3915.87,31066.0,20.122390208783298
2022-04-04 16:00:00,38237.0,19871.0,2481.0,0.0,1448.0,159.0,5490.0,1147.0,4434.0,31600.0,17.35753327928446
2022-04-04 17:00:00,37109.0,19772.0,2461.0,26.0,1547.0,180.0,3697.0,1277.0,4582.34,32135.0,13.403756501118327
2022-04-04 18:00:00,36756.0,21439.0,2396.0,26.0,1767.0,255.0,1594.0,1427.0,4248.33,33735.0,8.219066274893896
2022-04-04 19:00:00,38586.0,21842.0,2409.0,105.0,2826.0,357.0,128.0,1575.0,5584.9400000000005,36883.0,4.413517856217281
2022-04-04 20:00:00,39660.0,21953.0,2611.0,996.0,3126.0,492.0,0.0,1600.0,5024.18,38060.0,4.034291477559253
